Date,ZC=F_High,ZC=F_Low,ZC=F_Open,ZC=F_Close,ZC=F_Volume,ZC=F_Adj Close,ZW=F_High,ZW=F_Low,ZW=F_Open,ZW=F_Close,ZW=F_Volume,ZW=F_Adj Close,ZS=F_High,ZS=F_Low,ZS=F_Open,ZS=F_Close,ZS=F_Volume,ZS=F_Adj Close,KC=F_High,KC=F_Low,KC=F_Open,KC=F_Close,KC=F_Volume,KC=F_Adj Close,CC=F_High,CC=F_Low,CC=F_Open,CC=F_Close,CC=F_Volume,CC=F_Adj Close
2014-01-02,427.25,418.5,422.0,420.5,136284.0,420.5,605.25,595.5,605.0,597.0,39720.0,597.0,1312.5,1280.25,1312.5,1287.0,8675.0,1287.0,112.30000305175781,110.19999694824219,111.05000305175781,111.4000015258789,10615.0,111.4000015258789,2704.0,2629.0,2702.0,2636.0,21124.0,2636.0
2014-01-03,424.0,417.0,420.5,423.5,110192.0,423.5,609.0,596.0,596.75,605.75,49188.0,605.75,1294.0,1281.75,1287.0,1289.25,7385.0,1289.25,116.55000305175781,111.19999694824219,111.5,116.3499984741211,15904.0,116.3499984741211,2723.0,2633.0,2646.0,2699.0,18846.0,2699.0
2014-01-06,428.0,423.5,423.5,427.75,96635.0,427.75,612.75,605.0,608.0,605.75,39432.0,605.75,1301.5,1290.0,1291.25,1296.75,2906.0,1296.75,121.44999694824219,115.69999694824219,116.5,121.0,21470.0,121.0,2717.0,2656.0,2708.0,2667.0,13980.0,2667.0
2014-01-07,430.0,425.25,427.0,426.0,124441.0,426.0,610.0,601.75,606.5,602.5,45799.0,602.5,1305.5,1287.25,1297.0,1299.5,2600.0,1299.5,122.5999984741211,116.6500015258789,121.5,117.25,26109.0,117.25,2697.0,2663.0,2669.0,2675.0,12173.0,2675.0
2014-01-08,427.75,414.75,425.25,417.0,221233.0,417.0,607.25,586.75,603.0,588.75,55310.0,588.75,1304.5,1292.25,1299.25,1300.75,3050.0,1300.75,121.5,117.55000305175781,117.55000305175781,120.9000015258789,20470.0,120.9000015258789,2715.0,2669.0,2685.0,2700.0,11845.0,2700.0
2014-01-09,416.75,408.0,416.0,412.0,228114.0,412.0,591.0,578.5,588.0,584.25,67643.0,584.25,1307.5,1296.25,1300.75,1296.25,2454.0,1296.25,121.5,118.30000305175781,120.9000015258789,119.3499984741211,18583.0,119.3499984741211,2720.0,2679.0,2701.0,2684.0,11831.0,2684.0
2014-01-10,433.0,406.25,411.5,432.75,365581.0,432.75,593.25,560.5,584.5,569.0,110226.0,569.0,1320.0,1297.25,1297.25,1303.75,1142.0,1303.75,120.9000015258789,117.8499984741211,118.55000305175781,120.6500015258789,15400.0,120.6500015258789,2717.0,2676.0,2688.0,2712.0,12485.0,2712.0
2014-01-13,435.5,430.5,431.75,434.5,219138.0,434.5,576.0,570.0,571.5,573.5,58021.0,573.5,1327.5,1296.0,1301.75,1326.75,1070.0,1326.75,121.05000305175781,118.75,120.3499984741211,119.8499984741211,15589.0,119.8499984741211,2719.0,2682.0,2702.0,2712.0,11795.0,2712.0
2014-01-14,434.0,427.25,433.5,431.5,156818.0,431.5,580.0,570.75,571.25,579.25,37720.0,579.25,1339.0,1314.75,1327.0,1339.0,125170.0,1339.0,120.5,118.1500015258789,119.75,119.19999694824219,14366.0,119.19999694824219,2755.0,2696.0,2710.0,2752.0,14623.0,2752.0
2014-01-15,431.5,425.5,431.0,425.75,118783.0,425.75,579.75,566.5,579.0,567.75,38950.0,567.75,1321.0,1303.25,1305.25,1318.0,96559.0,1318.0,119.19999694824219,115.94999694824219,118.80000305175781,117.19999694824219,14080.0,117.19999694824219,2772.0,2722.0,2762.0,2748.0,11799.0,2748.0
2014-01-16,430.0,425.0,425.75,428.0,131695.0,428.0,573.75,564.0,568.25,572.75,48891.0,572.75,1330.5,1311.0,1316.5,1315.0,101482.0,1315.0,119.75,117.3499984741211,117.5,118.3499984741211,10216.0,118.3499984741211,2759.0,2737.0,2750.0,2753.0,7324.0,2753.0
2014-01-17,428.0,422.25,427.0,424.0,95493.0,424.0,574.25,562.75,572.75,563.5,32126.0,563.5,1318.5,1305.5,1312.75,1316.5,76571.0,1316.5,118.0999984741211,116.30000305175781,118.0,117.1500015258789,8508.0,117.1500015258789,2742.0,2685.0,2727.0,2700.0,13370.0,2700.0
